1|В чем была одета в день знакомства?|юбка|джинсы|платье|джинсы
2|На какой праздник призналась в любви?|23февраля|14февраля|8марта|23февраля
3|Мой первый подарок?|туалетная вода|клоун|плакат|клоун
4|Какого цвета были розы на свадьбе?|белые|красные|розовые|розовые
5|В какой день недели познакомились?|пятница|суббота|воскресенье|суббота
6|Сколько времени прошло со дня встречи до свадьбы?|1 год 7 месяцев|2 года|1 год 8 месяцев|1 год 8 месяцев
7|В какой день недели родился Максимка?|среда|четверг|пятница|четверг
8|В какой день недели родился Артем?среда|четверг|пятница|среда
9|На какой концерт Руки вверх ходили в 1998 г?|без тормозов|сделай погромче|конец попсе - танцуют все|сделай погромче
10|К какому фильму была сделала совместная иллюстрация?|пятый элемент|титаник|люди в чёрном|титаник
11|Под какую песню был первый поцелуй?|7 Seconds|Frozen|I Don't Want to Miss a Thing|7 Seconds
12|О чем мечтает твоя половинка?|серфить по океану|быть на ручках|зарплата 200 000 рублей|быть на ручках
13|Чего боится твоя половинка?|глубины|тараканов|высоты|тараконов
14|Где бы хотела жить твоя половинка?|Россия|Европа|Америка|Европа
15|Какая свадьба 20 лет совместной жизни?|чугунная|фарфоровая|серебряная|фарфоровая
16|Что получишь в подарок на 20 лет совместной жизни?|фарфоровую чашку|сплав на каякингах|вкусное печенье|сплав на каякингах
